id,yield
15289,4226.457843602344
15290,6223.195680158271
15291,7249.896710736095
15292,4998.06268322526
15293,3699.85322580667
15294,5056.777247651946
15295,7154.859736957587
15296,6466.833747718018
15297,8298.1408682951
15298,4125.279245136189
15299,5936.217443410307
15300,5826.608897532686
15301,5557.226639058616
15302,5888.678215363878
15303,5118.694745933637
15304,4832.698490750394
15305,4705.680305083923
15306,6391.030163849588
15307,4966.764555123227
15308,6028.86014041095
15309,6242.170447653101
15310,7494.203157328651
15311,5504.822352832998
15312,5055.988487842958
15313,6410.3042844499
15314,5089.481829707453
15315,4611.355040714669
15316,7917.846754028811
15317,5681.580185227678
15318,7785.34785187291
15319,8139.401087838807
15320,7059.2795140361995
15321,6707.590839651588
15322,3243.496450746723
15323,5977.254032598925
15324,2779.659631320217
15325,7226.788295610517
15326,6314.167752687819
15327,4151.00239549845
15328,7811.452806417481
15329,7606.125485708239
15330,5038.566099269548
15331,5787.449108987465
15332,6937.294391028117
15333,6484.976125611342
15334,5540.442843364435
15335,7912.239313384693
15336,4117.609985647316
15337,7527.905804729031
15338,6130.4201885065995
15339,5734.459127144772
15340,6801.744657670846
15341,5780.393027690356
15342,5271.540403846593
15343,6783.234379790607
15344,6174.80367357214
15345,4387.668442946975
15346,6208.782058066921
15347,6277.208624782332
15348,4427.073539299716
15349,6598.157623411738
15350,4676.586688845302
15351,6198.284391849535
15352,5871.851808040286
15353,6798.780873671698
15354,4294.903462397051
15355,4458.841645866109
15356,6168.658275138994
15357,6455.110580130247
15358,7021.575377298635
15359,4962.69926301582
15360,4672.7529411200085
15361,5690.598222180619
15362,5987.100365059217
15363,6682.954974393186
15364,5231.307765824138
15365,4466.687949710584
15366,4706.038992664078
15367,7636.643192344054
15368,4887.333000038401
15369,5862.7163146940875
15370,6464.503135615203
15371,3613.9099809456384
15372,4807.543044294405
15373,6300.251619540097
15374,5731.945614995959
15375,5527.696401281108
15376,6094.762425204623
15377,5721.472491330525
15378,4773.103236719908
15379,6111.493626509793
15380,7262.936023119721
15381,6096.353759487625
15382,5750.149413067149
15383,7517.421756175405
15384,5324.57627067226
15385,4527.909001671942
15386,4207.655475894862
15387,4483.441566562629
15388,6794.7929589466075
15389,6210.919477578893
15390,8206.935032045178
15391,6481.337386599218
15392,7170.564533050987
15393,6006.026082459139
15394,6145.030005508917
15395,5546.000416090887
15396,6876.437054833106
15397,6774.183003656974
15398,5553.107184446359
15399,5361.040515693196
15400,4757.512286162877
15401,6259.136382259079
15402,6256.050353248778
15403,6218.817732426629
15404,7080.712362300779
15405,7318.426431328815
15406,8147.615932392015
15407,5886.531256557675
15408,7619.379992630391
15409,5918.831485250441
15410,5893.8261734487605
15411,8308.553995284194
15412,6677.282558448671
15413,6884.325464693655
15414,5663.20857303089
15415,6023.572287631221
15416,6977.256858172477
15417,5969.518394912302
15418,7437.59973368427
15419,4410.992577824043
15420,4153.992719102593
15421,6312.945497029752
15422,3896.395935336943
15423,6596.75691758364
15424,6367.857842265861
15425,6869.912763349188
15426,3755.2124012549757
15427,7557.875483619631
15428,6370.407583020569
15429,7341.576147888671
15430,6588.372243301594
15431,5209.488768011739
15432,5216.714115400449
15433,4523.3625450058025
15434,8394.30110523681
15435,4268.828668478527
15436,4746.706956837443
15437,5040.030196844367
15438,5536.231063616462
15439,7180.950668877107
15440,5400.404553176835
15441,6569.402846364246
15442,5493.887599679874
15443,4559.809717574681
15444,5763.771287271753
15445,3553.426663096354
15446,6785.942555380578
15447,6603.211628829304
15448,7768.974711448303
15449,8093.082282386778
15450,7109.376352444349
15451,5205.769476328394
15452,4464.102263808658
15453,7472.469101576193
15454,6709.802903796139
15455,8312.300292719388
15456,6344.373518801876
15457,6452.435345038015
15458,5677.420086154714
15459,6198.299490601872
15460,5724.325743501715
15461,5170.186113402655
15462,5098.748142212862
15463,6682.682864714123
15464,6405.464571536053
15465,6790.687713965832
15466,7318.385211846209
15467,7266.113290294888
15468,3434.847344140697
15469,2732.2883079762687
15470,7382.351580800605
15471,7267.255757652514
15472,6766.9720771674765
15473,5109.720133453608
15474,6747.254623193468
15475,5059.492947546998
15476,5044.14227556478
15477,5734.179188215116
15478,4358.756611557619
15479,7283.165384155116
15480,6759.807426267769
15481,6396.8505507096415
15482,6320.39759409125
15483,6845.123719314579
15484,6516.7020944395335
15485,7529.44538407767
15486,6212.94354195951
15487,7751.009174920444
15488,7169.212957039184
15489,5462.511197541724
15490,6367.277720565209
15491,6755.861183558416
15492,5450.812775291619
15493,7304.9517694818205
15494,6354.525862780109
15495,6875.2532447184785
15496,6811.43129119603
15497,4667.338593826513
15498,6756.645107191231
